TV Show,Actor
פלפלים צהובים,"יוסי מרשק, עלמה זק"
"פמת""א","אורי פפר, אושרי כהן, איציק כהן, אלון חמאווי, גיא אריאלי, דר זוזובסקי, זהר שטראוס, חן אמסלם, יחזקאל לזרוב, יניב סויסה, מיכאל אלוני, נגה ארז, נינה קוטלר, עדי הימלבלוי, עלא דקה, צחי הלוי, שלמה בראבא, שרה פון שוורצה"
פצועים בראש,"אגם רודברג, אריה צ'רנר, גיא עמיר, דניאל גד, דר זוזובסקי, חנן סביון, לי בירן, רותם זיסמן-כהן, רמי דנון, תובל שפיר"
צומת מילר,אדיר מילר
קוגל,"הדס ירון, ששון גבאי"
קופה ראשית,"אביבה נגוסה, אושיק לוי, אמיר שורוש, דב נבון, דורית לב ארי, דניאל סטיופין, יגאל עדיקא, יניב סויסה, יעקב בודו, מיה לנדסמן, נועה קולר, קרן מור, רודי סעדה"
קופיקו,רודי סעדה
קורדרוי (סדרת טלוויזיה),"אריק ברמן, דר זוזובסקי, יפתח קליין, ניבר מדר"
קטמנדו,"גל גדות, דורון תבורי, לירון לבו, מיכאל מושונוב, ניצן לברטובסקי, צחי גראד, קרן ברגר, שמרית לוסטיג"
קיבוצניקים,"ג'ייד דייכס וויקס, דינה סנדרסון, דני קמושביץ, דניאל סבג, יואל רוזנקיאר, יוסי צברי, יניב ביטון, יעל אלקנה, ליאנה עיון, ליהי קורנובסקי, מירי אלוני, רועי ניק, שי אביבי, שלומי טפיארו"
קצרים,"יובל סגל, מוני מושונוב, קרן מור, ריקי בליך, שמוליק לוי"
קרובים קרובים,"אילן דר, דורון נשר, חנה מרון, יהורם גאון, לאורה ריבלין, שמואל סגל, תיקי דיין"
קרתגו,"אורי גוב, יעקב זדה-דניאל, פיליפ גלניסטר, רשף לוי"
ראש גדול,"אדם הירש, אוהד שחר, איציק כהן, לימור גולדשטיין, מייקל לואיס, נבו קמחי, נטע הבר, ספיר דרמון, רוני דואני, שמרית לוסטיג, תם גל"
רוח צפונית (סדרת טלוויזיה),"לוסי איוב, מיכאל אלוני"
רחוב סומסום,"אבנר כץ, אלברט אילוז, ז'יל בן דוד, חנה רוט, יונה עטרי, נתן דטנר, שמואל שילה, שרי צוריאל"
רמזור,"אדיר מילר, לילי ריץ׳"
רק בישראל,"אורנה בנאי, ארז טל, מיקי גבע"
