Actor Name,Work
מירב גרי,האורסטיאה
מירב פלדמן,"החברים של נאור, נבסו"
מירב שירום,בלקספייס
מירה עווד,"God's Stories, הבועה, להישאר בחיים, מפריח היונים, עבודה ערבית"
מירי אלוני,קיבוצניקים
מירי בוהדנה,"אהבה מעבר לפינה, בובות (טלנובלה), זיגי"
מירי מסיקה,"אביבה אהובתי, שלוש אמהות"
מירי נבו,עם סגולה
מישא אשרוב,"אגדת הנהר, אותלו, אמא קוראז' וילדיה, העלמה יוליה, מי מפחד מווירג'יניה וולף, שניים עשר המושבעים, שש נפשות מחפשות מחבר"
מכרם ח'ורי,"Boy from Heaven, Complicit, Desert Dancer, Djihad, Gaza, God's Stories, Italians, Medina, Memorial Day, Mr. Frost, NSF Thurmont, No Name Restaurant, Tale of the Three Jewels, The Birnam Wood, The Body, The Cut, The Patriots, The Physician, Third-Day Story, Wedding in Galilee, אזור חופשי, ארץ פצועה, הבית של סדאם, הירושה, הכלה הסורית, המנגליסטים, המתקפה, חיוך הגדי, טעם התפוחים אדום, כרמל, להב חצוי, לילה בחיפה, מחילות, מינכן, מיראל, מפריח היונים, עכביש ברשת, עץ לימון, עתלית, פתח תקוה (סרט)"
מלאני פרס,"הכלה הסורית, טלנובלה בע""מ"
מלי לוי-גרשון,"NO אקזיט, החברים של נאור, התאבדות, מלכת היופי של ירושלים, עיר מקלט, עממיות"
מנדי כהאן,The Murer Case
מנואל אלקסלסי (ורדי),נעלמים
מנחם גולן,"Cannes Man, King Lear, זכרון דברים, ריקוד מסוכן"
מנחם גנסין,רוחות
מנחם זילברמן,גבעת חלפון אינה עונה
מנחם עיני,"זהר, חמש חמש"
מני פאר,"זהר, ילדות רעות"
מנשה ורשבסקי,לחיות ולצחוק
מנשה נוי,"Made in Israel, אהבה קולומביאנית, איגור ומסע העגורים, איש החשמל, גט - המשפט של ויויאן אמסלם, הזמן שנותר: כרוניקה של נוכח נפקד, המופע של בני זינגר, השוטר, התערבות אלוהית, חולה אהבה בשיכון ג', חומוס FULL טריילר, טהרן, ילדות סכסכניות, כידון, מי מפחד מהזאב הרע, מפריח היונים, קלרה הקדושה, שנת אפס"
מסקי שיברו,"נבסו, תחיה ותהיה"
מעיין אלוני,כאן גרים בכיף
מעיין בלום,"היהודים באים, ילדות סכסכניות"
מעיין תורג'מן,הרחק מהיעדרו
מעין קרת,מבחן החלב
מקס אולארצ'יק,"אדומות, פיק אפ"
מקס מוריסו,אוי! אני מאוהב
מקסים ליאונידוב,"Ah, those stars!, How to become a star, The Drayman and the King, ויסוצקי. תודה שאני חי"
מרגלית סטנדר,אחרי הנפילה
מריאנו אידלמן,"אהבה קולומביאנית, ארץ נהדרת, הפרלמנט, זוהי סדום, סוף העולם שמאלה, עבודה ערבית"
מרים אבו חאלד,ג'נקשן 48
מרים אורית,Der ṭaṭe bin ikh
מרים ברנשטיין-כהן,"בגלל חגורה, הדה גבלר"
מרים גבריאלי,"שחור, שמיכה חשמלית ושמה משה"
מרים זוהר,"אגדת הנהר, אמא קוראז' וילדיה, האורסטיאה, מי מפחד מווירג'יניה וולף, פסטיבל שלום עליכם"
מרינה שויף,"אהבה קולומביאנית, איזה מקום נפלא, עוד אני הולך"
משה איבגי,"אהבה גנובה, אולטימאטום, אחותי היפה, אצבע אלוהים, בגין, גמר גביע, הבורר, הדמעות של אמסלם, המשורר, הנוער, העולם מצחיק, הקרב על הוועד, השוטר הטוב, וביום השלישי, זגורי אימפריה, זמן אוויר, חובו של אהרון כהן, חולה אהבה בשיכון ג', חסר מנוחה, יום יום, לצוד פילים, מדורת השבט, מינכן, מלחמת 90 הדקות, מנתק המים, מקס ומוריס, מתחת לאף, נקמתו של איציק פינקלשטיין, סוף המשחק, סיפורי בית קפה, ספרטן, שבעה, שורו"
משה איש כסית,"גבעת חלפון אינה עונה, הטוב, הרע והלא נורא"
משה אשכנזי,"אפס ביחסי אנוש, בעלת החלומות, בשבילה גיבורים עפים, הדילרים, העולם מצחיק, מטומטמת"
משה דץ,101 כלבים דלמטים
משה חורגל,דון ז'ואן
משה סולו,"A ṭog in ir lebn, Der ḳibitser (April 27, 1967), Geshosn un getrofn, אלהים, אדם ושטן, יש ליהודי ארצונת!..."
משה פרסטר,"אפטר, האיש שרצה לדעת הכל (סדרת טלוויזיה), שורו"
משי קלינשטיין,תמונת הניצחון
מתי אטלס,"בת השוטר, החצר, עיניים פקוחות, רימון הזהב"
מתי סרי,"בלדה לאביב הבוכה, חמש חמש, רימון הזהב, רק כלבים רצים חופשי"
מתן פרמינגר,החיים בינתיים
מתן שביט,נעלמים
נאוה שאן,אמא קוראז' וילדיה
נאור ציון,החברים של נאור
נאיה פדרמן,ג'סטה
נבו קמחי,"בוקר טוב אדון פידלמן, חטופים, ראש גדול"
נגה ארז,"פמת""א"
נגה ד'אנג'לי,"פלמ""ח"
נדב אבקסיס,סוף העולם שמאלה
נדב לפיד,"Madeleine Collins, Room 999"
נדב נייטס,"ביום שהאדמה רעדה, בשבילה גיבורים עפים, הבועה, החוב, מטומטמת"
נוה צור,"גאליס, גאליס - קונקט, עקרון ההחלפה, שישו ושמחו (סדרת טלוויזיה), שניצל"
נויה מנדל,שחר
נולי עומר,"חיי אהבה, סיפורי תל אביב"
נועה אסטנג'לוב,"המפקדת, מיוחדת"
נועה ברקאי,"NO אקזיט, הבועה, מבול"
נועה גולדברג,בלוז לחופש הגדול
נועה כרמי,חמדה (סרט)
נועה לזר קינן,עג'מי
נועה קולר,"אנטילופות, בית בגליל, דיבוקים, המנצח, חזרות, להעיר את הדב, מעשייה אורבנית, קופה ראשית"
נועה קירל,"כמעט מפורסמת, שלטון הצללים"
נועה רבן,מדוזות
נועה תשבי,שחר
נועם לוגסי,"בתולות, המפקדת, הרמון, נעלמים"
נורה ברג,"A ṿilde moyd, Geshosn un getrofn"
נורית כהן,החיים זה לא הכל
נורמן עיסא,"אנה ערביה, הבריחה מערב הסעודית, הכלה הסורית, המלך ליר, מטומטמת, מלחמת 90 הדקות, עבודה ערבית, ערבים רוקדים - זהות שאולה"
נחום בוכמן,"אותלו, אמא קוראז' וילדיה, דודה ליזה, הרוצחים הקטנים, כל אדם והאמת שלו, מלחמה ושלום, מסע לנינוה, מקבת"
נטלי עטיה,"אודם, אמור, יום יום, ימים של אהבה, שלוש אמהות"
נטלי פורטמן,"Alien Lover, Bronco Belle, Bunny, Developing, Domino One, First Lady, Fountain of Youth, I'm Still Here, Milos Forman – What Doesn’t Kill You, Nickelodeon Kids Choice Awards Orange Carpet, Revolutionary War, Stranger Things 3, The Concert for New York City, The Pulitzer at 100, The Smoker, The Weathered Underground, אביר הגביעים, אוהב אותך, ניו יורק, אוהב אותך, פריז, אזור חופשי, אחים, בחורות יפות, בכל מקום אחר, ברבור שחור, ג'קי, גארדן סטייט, האישה האחרת, הוד מעלתך, היט, הנוקמים: סוף המשחק, העולם שאחרי: הכחדה, הפלישה ממאדים, הצצה ליחסים, הרוחות של גויה, ווקס לוקס, ונדטה, זולנדר, זרוק, חייו ומותו של ג'ון פ. דונובן, חנות הפלאים, טרילוגיית סרטי ההקדם מלחמת הכוכבים, כולם אומרים אני אוהב אותך, לאון, לג'יין יש אקדח, לוסי בשמיים, לילות בלוברי, מלון שבלייה, מלחמת הכוכבים - פרק 1: אימת הפנטום, מלחמת הכוכבים - פרק 2: מתקפת המשובטים, מלחמת הכוכבים - פרק 3: נקמת הסית', מפתח הלב, משיר לשיר, נערת בולין האחרת, סיפור על אהבה וחושך, פלנטריום, קולד מאונטן, קרוב יותר, קשר לא מחייב, רכבת לדארג'ילינג, תור, תור: אהבה ורעם, תור: העולם האפל"
נטע בר רפאל,אליס
נטע גרטי,"בת השוטר, הבורר, החוב, חיי אהבה, סוף העולם שמאלה, עממיות, פאודה, רק כלבים רצים חופשי"
נטע הבר,"לגעת באושר, ראש גדול"
נטע מורן,"החולמים, המוסד, למלא את החלל"
נטע סובול,צמות
נטע פורת,"פעם הייתי, תמרות עשן"
נטע רוט,תמונת הניצחון
נטע ריסקין,"Anywhere Else, איסט סייד, איש חשוב מאוד, געגוע, האיש שרצה לדעת הכל (סדרת טלוויזיה), שטיסל"
נטע שפיגלמן,"בית בגליל, הרמון, מונטנה (סרט, 2017), מנפאואר"
נטשה ליון,"#Horror, 4:44 Last Day on Earth, Adam Green's Aladdin, Addicted to Fresno, All About Evil, Comic Book Villains, Detroit Rock City, G.B.F., Girl Most Likely, Goyband, Heartburn, Hello, My Name Is Doris, His Three Daughters, Honey Boy, Klara and the Sun, Krippendorf's Tribe, Madhouse, Meadowland, Modern Vampires, My Suicidal Sweetheart, Night Club, Night at the Golden Eagle, Plan B, Slums of Beverly Hills, The Intervention, The United States vs. Billie Holiday, אחד באפריל, אמריקן פאי, אמריקן פאי 2, אמריקן פאי: האיחוד, בובה רוסית, בלייד: טריניטי, דני שובבני, האזור האפור, הבחורה החדשה, הזויים, העשב של השכן, זיגזג, יהלום לא מלוטש, יוגה הוזרז, יחידה במינה, כולם אומרים אני אוהב אותך, כתום זה השחור החדש, לשכב עם אחרים, מילה של כלב, מנהיג בהזמנה, מת לצעוק 2, פארטי מונסטר, פוקר פייס (סדרת טלוויזיה), קייט ולאופולד, רצח כתוב היטב: תעלומה יוונית"
ניב מג'ר,על הספקטרום
ניב סולטן,"That Dirty Black Bag, טהרן, ילדות סכסכניות, ים המוות (סדרת טלוויזיה), יש לה את זה, כמעט מפורסמת"
ניב רז,ריקוד מסוכן
ניבר מדר,קורדרוי (סדרת טלוויזיה)
נילי רוגל,בשבילה גיבורים עפים
נינה קוטלר,"המנצח, עוד אני הולך, פמת""א"
נינט טייב,"בשבילה גיבורים עפים, השיר שלנו, זגורי אימפריה, קירות"
ניסים עזיקרי,"אויב העם, אותלו, האורסטיאה, מסע לנינוה"
ניסן נתיב,אילי ובן
ניצה שאול,"גבעת חלפון אינה עונה, פלאש"
ניצן לברטובסקי,"קטמנדו, שש פעמים"
ניקו ניתאי,"Hellbound, שבע פעמים ביום"
ניר פרידמן,ילדות רעות
ניר שטראוס,על הספקטרום
נירה רבינוביץ',"בנות, הבועה, פיתוי, פסטיבל שלום עליכם"
נירו לוי,"אהבה קולומביאנית, בלדה לאביב הבוכה, החברים של יאנה, ימים של אהבה, כיכר החלומות, מיכאלה"
נלי תגר,"אני לא מאמין, אני רובוט?!, אפס ביחסי אנוש, בשורות טובות, עספור"
נמרוד נימו הוכנברג,"מדינת הגמדים, מקוללים"
נמרוד רשף,"The Sixteenth Lamb, אני אוהב אותך בואי ניפרד, כובע קסמים, עולמו המופלא של אוגוסטוס אגדתי"
נסים זוהר,"חולה אהבה בשיכון ג', שירת הסירנה"
נסרין פאעור,"Amreeka, עיני גנב"
נעה בירון,"מונטנה (סרט, 2017), ערבים רוקדים - זהות שאולה"
נעה פרידמן,מעשייה אורבנית
נעם פרנק,דן ומוזלי
נעמה אמית,מי זאת? (תוכנית טלוויזיה)
נעמה שטרית,העולם מצחיק
נעמה שנדר,קרוב לבית
נעמי בלומנטל,אבו אל בנאת
נעמי לבוב,"בלאדי מורי, מטומטמת, על הספקטרום"
נעמי פולני,"איולף הקטן, מישהו לרוץ איתו"
נפתלי אלטר,"בנות, גבעת חלפון אינה עונה"
נצנת מקונן,בת השוטר
נתי קלוגר,"כאן גרים בכיף, מי מפחד מהזאב הרע"
נתן דטנר,"רחוב סומסום, שישו ושמחו (סדרת טלוויזיה), שרמן בחורף"
נתן הכט,"Der dibeḳ, האט א ייד א וויבעלע, הדוד אמריקה"
נתן וולפוביץ',"A nakhṭ in Riyo, A ḥos̀n miṭ nadn!, Der dibeḳ, Der dzshaz zinger, Der ḳibitser (July 27, 1967), Der ṭaṭe bin ikh, Dos groyse  geṿins, Geshosn un getrofn, האחים אשכנזי, חג שמח"
נתן זהבי,שורו
נתן כוגן,"Stormy Weather, The Rashevski Tango, Those Who Love Me Can Take the Train, אבן על כל מיל, בלומפילד, פיצוץ בחצות"
נתן נתנזון,חיי אהבה
נתן רביץ,"אביבה אהובתי, הבוגד הקטן, הזמן שנותר: כרוניקה של נוכח נפקד, המלך ליר, הרפתקה בשחקים, לחיי האהבה, מיכאלה, מלח הארץ, סוף העולם שמאלה, עיר מקלט, פלמ""ח, פעמיים בוסקילה"
סאלח בכרי,"Costa Brava, Lebanon, Giraffada, God's Stories, Laila's Birthday, My Zoe, Salvo, The Teacher, Wajib, When I Saw You, ביקור התזמורת, הזמן שנותר: כרוניקה של נוכח נפקד, הקפטן הכחול, מים ואהבה, מלח הימה (ש.ל.ר)"
סאמר בישאראת,Behind the Mountains
סבטלנה נרבאייבה,"Legend of Rustam, Provintsialnyi roman, Q127269133, Q4101642, Q51309535, Rustam and Suhrab, The first passengers"
סבי דור,"Blaue Rose, Carlos, Das Piräus-Abenteuer, Die Kälte des Lebens, Ein seltsamer Ehrenmann, Judith, Marienhof, Q262866, Q96146883, School Girl Bride, Tatort: Armer Nanosh, The Fruit is Ripe"
"סגלי, שמעון",Der ṭaṭe bin ikh
סוהיל חדאד,"אוונטי פופולו, גמר גביע, המתופפת הקטנה, טעם התפוחים אדום"
סוול אריאל אור,כיסופים
סופי צדקה,"לחיי האהבה, פים פם פה - בארמון הקסמים"
סטיב בונד,"Cat Murkil and the Silks, Magdalene, Massacre at Central High, Picasso Trigger, Tarzan and the Jungle Boy, The Prey, To Die For"
סיגלית פוקס,"אילי ובן, הדרך לאן, מוכרחים להיות שמח, על הספקטרום"
סיגלית תמיר,"אור, אילי ובן"
סיון לוי,"Inch'Allah, בתי אהובתי, ג'ו + בל, לא רואים עליך, שש פעמים"
סיון נועם שמעון,ברש
סיון קרצ'נר,The Reports on Sarah and Saleem
סיני פתר,"No Name Restaurant, ביום שהאדמה רעדה, החולמים, וביום השלישי, שורו"
סירק מ. סבהט,תחיה ותהיה
סכנדר קובטי,עג'מי
סלבה ביברגל,איש חשוב מאוד
סמדי וולפמן,"Anything for Her, Cavalcade, Glenn, the Flying Robot, Je veux tout, Le clone, My Tree, Petits désordres amoureux, Saviors in the Night, The Great Role, Vive la vie, בקבוק בים של עזה, פלייאוף"
סמדר ברנר,הלהקה
סמדר יערון,"מישהו לרוץ איתו, עץ לימון, שנת אפס"
סמדר סייר,קרוב לבית
סמדר קילצ'ינסקי,"בר 51, דיסטורשן, החיים על פי אגפא, חסמבה ושודדי הסוסים, עקרון ההחלפה"
סמי הורי,"אהבה מעבר לפינה, בעל בעל לב, הנפילים, מבחן החלב, סודות המסדר, צומת וולקן, קדוש"
סמי מולכו,אגדת שלושה וארבעה
סמי סמיר,"Chain of Command, God's Stories, The Body, אגורא, גוף השקרים, גמר גביע, מינכן, סיפור לידתו של ישו"
סנדי בר,"הפורצת, חטופים, כובע קסמים, קדמה"
סנדרה שדה,"האופה מברלין, הדברים שמאחורי השמש, זיגי, למראית עין, מעשייה אורבנית, סברי מרנן"
סער בדישי,צעירים לנצח
ספי ריבלין,"אחד באפריל, גינת הפלאים של רינת, השיגעון הגדול, חסמבה ושודדי הסוסים"
ספיר דרמון,ראש גדול
סשה אבשלום אגרונוב,הבודדים
סשה רויז,"16 רחובות, Across the River to Motor City, Extracted, NCIS, איש השנה, ארץ המתים, גרים, האוס, היום שאחרי מחר, פומפיי, קאסל, קפריקה, שקר לי"
סתיו סטרשקו,"Birds of Paradise, הנשף, שבלולים בגשם"
עבדאללה עקל,"David & Kamal, הדילרים, המתקפה (ש.ל.ר), זרים, לבנון, להישאר בחיים, מיראל, רוק בקסבה, תמונת הניצחון"
עדה בן-נחום,בלוז לחופש הגדול
עדה טל,"חתונת פיגארו, כל אדם והאמת שלו, מסע לנינוה"
עדו גולדברג,"A Little Trip to Heaven, Christopher and His Kind, Fear, I Could Never Be Your Woman, Jesus, L'Auberge espagnole, NCIS, Red Faced, Run Fatboy Run, Safe Conduct, Salem, Suzie Gold, The Time of Two Engines, The Tournament, Tut, אנון, אשתו של שומר גן החיות, גאון, התנגדות, התקוממות, וידוייה הסודיים של זונת צמרת, כנופיית ברמינגהאם, ליבה האמיץ של אירנה סנדלר, רכבת הקרח"
עדי אלון,"חמדה (סרט), מטומטמת, מנגן ושר, נעלמים"
עדי ארד,101 כלבים דלמטים
עדי אשכנזי,"לבד בבית, מה זה השטויות האלה?!"
עדי בילסקי,The Veteran
עדי הימלבלוי,"דאוס, האלופה, המוסד, השמיניה, פמת""א"
עדי חבשוש,בקרוב אצלי
עדי עזרוני,"Djihad, The Sixteenth Lamb, חטופים, כובע קסמים"
עדן מאירי,זיגי
עדנה בליליוס,"אבירם כץ, מלח הימה (ש.ל.ר)"
עדנה פלידל,"בלוז לחופש הגדול, האסיסטנט של אלוהים"
עודד לאופולד,"15 שנה, ביום שהאדמה רעדה, הבועה, נמס בגשם"
עודד מנסטר,"החצר, לגעת באושר, קבלו אותי, רימון הזהב"
עודד מנשה,"The Sixteenth Lamb, כובע קסמים, ספר שחור, עולמו המופלא של אוגוסטוס אגדתי"
עודד פהר,"24: מורשת, Batman Unlimited: Mech vs. Mutants, Bread and Roses, Cleopatra, Coming Home, Deuce Bigalow: European Gigolo, Dreamer, Drool, Inescapable, La cocina, NCIS, Presidio Med, Scavengers, Su'Kal, Super Hybrid, Terra Firma, Part I, Terra Firma, Part II, Texas Rangers, That Hope Is You, Part 2, The Betrayed, The Sanctuary, There Is a Tide..., UC: Undercover, Unification III, בשבילה גיבורים עפים, דם ואוצרות, האויב שבפנים: אפוקליפסה, האויב שבפנים: הגמול, האויב שבפנים: הפרק האחרון, האויב שבפנים: השמדה, הג'יגולו מת מצחוק, המדריך לרוצח, המומיה, המומיה חוזרת, המשימה הראשונה, וי, מיני-סדרה, עד עצם היום הזה, פרשיות סמויות, קוונטיקו, תא רדום"
עודד קוטלר,"אחרי הנפילה, דון ז'ואן, חסמבה דור 3, מורדי האור, מיכאל שלי, משפחת שמחון, קשר האורניום, שלושה ימים וילד"
עודד תאומי,תמרות עשן
עוז זהבי,"Bordering On Bad Behavior, בת השוטר, האי, הסיפור של יוסי, זגורי אימפריה, יש לה את זה, מיראל, עספור, תוכנית א'"
עולא טברי,"My Favourite Fabric, הירושה, מינכן"
עומר ברנע,"ג'ון וויק, ילדות רעות, מחילות, מלח ים, ריקוד מסוכן"
עומר גולדמן,"שכויה, שלטון הצללים"
עומר דרור,"גאליס, כמעט מפורסמת"
עומר חזן,"בעלת החלומות, זיגי, פלמ""ח"
עומר מושקוביץ,תמונת הניצחון
עומר נודלמן,בעלת החלומות
עומר פרלמן,"The Swimmer, שבאבניקים, שעת נעילה"
עופר בן שבת,עלילות ארץ גושן
עופר רגירר,אנטרקטיקה
עזרא דגן,"בנו של האחר, האסיסטנט של אלוהים, המתקפה (ש.ל.ר), ילדי סטלין, לצוד פילים, רשימת שינדלר"
עזרא כפרי,"בסמה מוצ'ו, החיים על פי אגפא, המוסד, שורו, שנת אפס"
עזריה רפופורט,"אמא קוראז' וילדיה, גבעה 24 אינה עונה, זכרון דברים"
עידו ברטל,"בני מצווה, בתי אהובתי, העולם מצחיק"
עידו טאקו,Mary
עידו מוסרי,"Gangsterdam, את מה-זה לא מוזמנת לבת מצווה שלי"
עידו רוזנבלום,החדש של עומרי גורדון
עידו רוזנברג,אנטיגונה
עידית טפרסון,"מיתה טובה, סיפורי תל אביב"
עידית צור,"אדמה משוגעת, קשר הדבש"
עידן אלתרמן,"אדם בן כלב, דן ומוזלי, ההסדר, החיים זה לא הכל, מר באום, שמיכה חשמלית ושמה משה"
עידן עמדי,"כביש הסרגל (סרט), פאודה"
עימאד ג'בארין,"ביקור התזמורת, הכלה הסורית, ללכת על המים"
עינב גלילי,משחק מכור
עינת ברנובסקי,מלאכיות בלבן
עינת הולנד,האיש שרצה לדעת הכל (סדרת טלוויזיה)
עינת ויצמן,אהבה קולומביאנית
עינת שרוף,"ויקי ואני, עץ לימון"
עירד רובינשטיין,שלטון הצללים
עירית גדרון,בית בגליל
עירית נתן בנדק,"אלף, כלת הים, מעשייה אורבנית"
עירית פרנק,"בחינת בגרות, בנות, החיים על פי אגפא, שמיכה חשמלית ושמה משה"
עירית קפלן,"האיש שרצה לדעת הכל (סדרת טלוויזיה), העולם מצחיק, חתונה עם סבתא, לב שקט מאוד, מלכת היופי של ירושלים, סיפור גדול"
עירית שילה,אהבה קולומביאנית
עירית שלג,"Q113362730, Tobe Hooper's Night Terrors, בר 51, בתולות, טרופיקנה (סרט), למלא את החלל, נישואין פיקטיביים"
עלא דקה,"אבירם כץ, הבן דוד, סבוי, פמת""א, תמונת הניצחון"
עליזה גור,"Tarzan and the Jungle Boy, מרוסיה באהבה"
עליזה חנוביץ',חאנשי
עליזה עזיקרי,Geshosn un getrofn
עליזה רוזן,"כאן גרים בכיף, מבצע חמניה, מיתה טובה"
עלית קרייז,וביום השלישי
עלמה זק,"ארץ נהדרת, בטיפול, הסודות, הערת שוליים, זוהי סדום, עולה לראש, פלפלים צהובים"
עמוס אריכא,באין מולדת
עמוס גיתאי,"התנתקות, זכרון דברים"
עמוס לביא,"בנות, גרין, דיסטורשן, האישה באפור, הארץ המובטחת, הבריחה מערב הסעודית, החולמים, החצר, המונה דופק, ימים של אהבה, כרמל, מינכן, מלך של קבצנים, מעורב ירושלמי, מפטיר, משחק חייו, סרק סרק, עוד אני הולך, עלילה, עץ לימון, פלאש, קשר דם, רגליים קרות, ריקוד מסוכן, שאכטה, שבזי, שושלת שוורץ, שחור"
עמוס מוקדי,"סבינה והגברים, צלילה חוזרה"
עמוס קולק,"להב חצוי, מניו יורק באהבה"
עמוס שוב,מדוזות
עמוס תמם,"אזהרת מסע, אחת אפס אפס, גיבורים קטנים, כידון, מָנָאיֶיכּ, סרוגים, עספור, עץ לימון, שלוש אמהות"
עמי אנידג'ר,"הקרמבויז, עם סגולה"
עמי ויינברג,"במקום חלום, האב, וביום השלישי, חוטא, מי מפחד מהזאב הרע, מינכן, מיראל, מעשייה אורבנית, נמס בגשם, עשו"
עמי טראוב,"האורסטיאה, צלילה חוזרה"
עמי סמולרצ'יק,"כידון, פתיחה 1812"
עמירם גבריאל,זהר
עמית אולמן,העיר הזאת
עמית בחובר,בית ספר לשטויות
עמית ליאור,"בשר תותחים, עפולה אקספרס"
עמית מורשת,תמונת הניצחון
עמית פרקש,"חצויה, כמעט מפורסמת"
עמית רהב,"אל מעבר האוקיינוס, היינו בני המזל"
עמנואל הלפרין,מבצע חמניה
עמנואל רוזן,עם סגולה
עמרי לוקאס,"אחרי הצלצול (סדרת טלוויזיה ישראלית), גאליס"
ענבר לביא,"Fillion Bollar King, Is a Shark Good or Bad?, My So-called Wife, Phase Two Sucks, Street Kings 2: Motor City, Tales of an Ancient Empire, The World Needs Heroes. Over., לוציפר, מתחזים, צייד המכשפות האחרון"
ענת ברזילי,"הכתובה, הרמון"
ענת וקסמן,"בננות, החיים זה לא הכל, לילסדה, נודל, סיפורי תל אביב"
ענת מגן-שבו,"אחד העם 1, אחד העם 101, יונייטד היי"
ענת עצמון,"אהבה גנובה, אמור, אסקימו לימון, המונה דופק, להב חצוי, עקרון ההחלפה"
ענת צחור,סיפורי תל אביב
ענת קלאוזנר,הבוגד הקטן
עפר שכטר,"NO אקזיט, איים אבודים, בננות, גאליס - קונקט, האלופה, הבוגד הקטן, הלהקה האחרונה בלבנון, טלנובלה בע""מ, מתים לרגע, פובידיליה"
עפרה ויינגרטן,"לרקוד, נישואין פיקטיביים"
עפרה חזה,"Ankh, נערת הפרברים, צדק מוחלט"
ערן איוניר,"איזה מקום נפלא, כל שבת שנייה, עץ לימון, שש פעמים"
ערן זרחוביץ',"ארץ נהדרת, גן קופים, הפרלמנט, מסודרים, עולה לראש"
ערן קולירין,אבירם כץ
פאולינה מאורר,"Der dzshaz zinger, Dos groyse  geṿins, אוי! אני מאוהב, האחים אשכנזי"
פאני לוביץ',רוחות
פואד חבש,עג'מי
פול ל. סמית',"21 שעות במינכן, Carambola!, Carambola's Philosophy: In the Right Pocket, Convoy Buddies, Crimewave, Desert Kickboxer, Eye of the Widow, Gor, Jungle Warriors, Madron, Mr. Terrific, Pieces, Sonny Boy, Ten Little Indians, Terminal Entry, The Diamond Peddlers, The In-Laws, The Protector, The Salamander, We Are No Angels, אקסודוס, אקספרס של חצות, חולית, ירח דבש מכושף, מבצע שטריימל, מווריק, מצדה, משה, סוניה האדומה, פופאיי, פורשים בסטייל"
פולי רשף,"חומוס FULL טריילר, כידון, מרס תורכי, קמטי צחוק"
פיטר פריי,"Neighbours, המלך דוד"
פיני טבגר,"אדמה משוגעת, איים אבודים, בחצר של פופיק, חנה ארנדט, יותר איטי מלב, עתלית"
פיני קידרון,עפולה אקספרס
פיראס נסאר,Q79468240
פירה קנטר,"אהבה קולומביאנית, חתה יסבח סבח, לב שקט מאוד, סרק סרק"
פלורנס בלוך,אבנים
פנינה רוזנבלום,אקדח האלוהים
פסח בר אדון,צבר
פסח גוטמרק,"Mayn mame der general (Performance), אלהים, אדם ושטן"
צ'רלי בוזגלו,שירת הסירנה
צבי שיסל,לול
צביקה הדר,"Kokhav Nolad 6, Kokhav Nolad 7, Kokhav Nolad 9, כוכב נולד 10, כוכב נולד 5, כוכב נולד 8, לצוד פילים, עם סגולה, עפולה אקספרס"
צביקה פורמן,Seven in Heaven
צביקה פיק,בדרנית בחצות
צדי צרפתי,אחרי הנפילה
צופית גרנט,"אפטר, בעלת החלומות, ד""ר פומרנץ, דיסטורשן, מבצע חמניה, סדקים"
צחי גראד,"Made in Israel, אולטימאטום, אורחים לרגע, אילי ובן, אני לא מאמין, אני רובוט?!, דיבוקים, הבודדים, הבלתי רשמיים, הבן דוד, הדילרים, הרחק מהיעדרו, חסר מנוחה, מבול, מדוזות, מי מפחד מהזאב הרע, מישהו לרוץ איתו, מלח הארץ, מרס תורכי, סיפורי בית קפה, עיניים פקוחות, ציון ואחיו, קטמנדו, תמרות עשן"
צחי הלוי,"Jaque mate, אתי אלון - האישה שגנבה 250 מיליון, ביום שהאדמה רעדה, בית בגליל, בית לחם, בתולות, המוסד, המילים הטובות, השוטרים, לילה בחיפה, לכודה, מריה מגדלנה, פאודה, פמת""א"
צחי כהן,"David & Kamal, Djihad, Essential Killing, Gaza, Speed Racer: Race to the Future, הבוגד הקטן, חיי אהבה"
צחי נוי,"Die unglaublichen Abenteuer des Guru Jakob, Popcorn and Ice Cream, Q47303942, Starke Zeiten, אסקימו לימון, בלוז לקיץ, הבוגד הקטן, המונה דופק, הקוסם מלובלין, יוצאים קבוע, ימים של אהבה, מפטיר, סבבה, פלאי קלעים, רומן זעיר, שפשוף נעים"
ציון ברוך,"אביבה אהובתי, גיבורים קטנים, הבועה, הבורר, הישראלים, הללויה, זוהי סדום, לשחרר את שולי, עם סגולה, רגליים קרות"
ציפי מור,בנות
ציפי שביט,"101 כלבים דלמטים, אחד באפריל, חסמבה דור 3"
צפרירה ירוני,חג שמח
צק ברקמן,"היה או לא היה, שרמן בחורף"
קאיפו כהן,הקיץ של אביה
קובי אריאלי,נבסו
קובי דורון,איש חשוב מאוד
קובי מאור,"הדילרים, ילדות רעות, כאן גרים בכיף, מטומטמת"
קובי מימון,זגורי אימפריה
קובי פרג',"חצויה, פעם הייתי, קריוקי, תאג""ד"
קובי שטמברג,המשגיחים
קווין רובין,זיגי
קונסטנטין אנטול,הדברים שמאחורי השמש
קייס נאשף,"Limbo, Though I Know the River Is Dry, אלנבי רומאנס, גוף השקרים, גן עדן עכשיו, התפוררות, מי מפחד מהזאב הרע, סיפור לידתו של ישו, ערבים רוקדים - זהות שאולה, תל אביב על האש"
קים אור אזולאי,מנגן ושר
קיריל ספונוב,"Bablo, Nikto ne yznaet, tatyanin den"
