Actor Name,Work
אילנה אביטל,"לגעת באושר, ריקוד מסוכן"
אילנה גיל,הדוד אמריקה
אילנה עדן,"ליזיסטרטה, סיפורה של רות"
אילנה תורן,Der dibeḳ
אילנית בן-יעקב,"אליס, ויקי ואני, מדוזות, עקרון ההחלפה, תהילים"
אילנית גרשון,בילי
אילנית לוי,זיגי
אימרי ביטון,"בעלת החלומות, האיש שרצה לדעת הכל (סדרת טלוויזיה), סבוי, שעת נעילה"
אינה גובינסקה,אגדת הנהר
איצ'ו אביטל,"וביום השלישי, לילסדה"
איציק כהן,"מכתוב, סיפור גדול, עכביש ברשת, פאודה, פמת""א, ראש גדול"
איקה זהר,"Candy Can Do It, לא שם זין"
אירינה סלזניובה,"Ah, those stars!, Moscow Vacation, Q4197687, פעמיים בוסקילה"
איריס בר,"Endgame, Larry the Cable Guy: Health Inspector, The Last Exorcism"
איריס יוטבת,הוא הלך בשדות
איריס מרטינז,לחיי האהבה
אירית אלטר,בנות
אירית סוקי,קרוב לבית
אישתאר,בלדה לאביב הבוכה
איתי זבולון,ויקי ואני
איתי טיראן,"Demon, Die Lebenden, בופור, בית אבי (2008), היורד למעלה, לבנון, מחילות, עכביש ברשת, רוץ ילד, רוץ"
איתי שגב,"עולמו המופלא של אוגוסטוס אגדתי, שחר"
איתי תורג'מן,"אבודים לרגע, אביבה אהובתי, בית""ר פרובנס, הדילרים, חזרות, חיותה וברל"
איתמר מלול,קבלו אותי
איתן ענר,Nelson
אלברט אילוז,"Djihad, אביבה אהובתי, בתי אהובתי, גט - המשפט של ויויאן אמסלם, האסיסטנט של אלוהים, הכוכבים של שלומי, חולה אהבה בשיכון ג', סיפור גדול, סרק סרק, פלאות, רחוב סומסום, רחל מאופקים, שבעה, שורו, שחור"
אלברט כהן,"אהבה גנובה, המנון, ולקחת לך אישה"
אלדד פריבס,"פלמ""ח"
אלה ארמוני,"מכתבים לאמריקה, שלוש אמהות"
אלון אבוטבול,"Beirut, Boyka: Undisputed, MK Ultra, NCIS: לוס אנג'לס, Septembers of Shiraz, Twin Peaks (season 3), אחד משלנו, בופור, בר 51, בתולות, גוף השקרים, הדילרים, המטרה: לונדון, הקרב על הוועד, הרמון, טווין פיקס, לילסדה, לנסקי, לרקוד, מינכן, מלנומה אהובתי, מקום בגן עדן, מרס תורכי, מרקו פולו, נודל, סודות המסדר, עור, עלייתו של האביר האפל, עם חוקים, קאסל, רמבו 3, רק כלבים רצים חופשי, שבעה, שרמן בחורף"
אלון אולארצ'יק,עלטה
אלון אופיר,להיטים מצוירים משלנו
אלון דהן,"אזימוט, אנה, אנטיגונה, הכלה הסורית, סיפור גדול, פלאות"
אלון חמאווי,"פמת""א"
אלון נוימן,"אחד משלנו, העולם מצחיק, מלח הארץ"
אלון פרידמן,הבועה
אלונה איב,"אסיה, ברקיע החמישי"
אלונה טל,"8 Years, Broken City, CSI, College, Crimson Casanova, Cross, Half Past Dead 2, Hand of God, Taking Five, Undocumented, אלי, המנטליסט, ורוניקה מארס, על טבעי, פים פם פה - בארמון הקסמים, פשע מן העבר, שקרניות קטנות"
אלונה סער,"המפקדת, שמים אדומים"
אלונה קמחי,"Tobe Hooper's Night Terrors, חימו מלך ירושלים"
אלחנן אבן חן,זוהר הרקיע
אלי אילדיס,עם סגולה
אלי אלטוניו,"אבנים, אחת אפס אפס, בובות (טלנובלה), בית""ר פרובנס, האיש שרצה לדעת הכל (סדרת טלוויזיה), מחילות"
אלי בן דוד,עם סגולה
אלי גורנשטיין,"גט - המשפט של ויויאן אמסלם, המתקפה (ש.ל.ר), מכתבים לאמריקה, מעשייה אורבנית"
אלי דנקר,"My Mom's New Boyfriend, NSF Thurmont, The Birnam Wood, Wanted: Dead or Alive, אלוף ללא עוררין 2, המתופפת הקטנה, השחף, ישו, לגעת באושר"
אלי יצפאן,"המופע של בני זינגר, נישואין פיקטיביים, פעם הייתי, שקופים (סדרת טלוויזיה)"
אלי כהן,"הפטנט, הקיץ של אביה, חמישה ימים בסיני, ישו, לא ביום ולא בלילה, סיירים"
אלי פיניש,"ארץ נהדרת, העולם מצחיק, השוטרים, זוהי סדום"
אליאנה תדהר,"בעלת החלומות, גאליס, גאליס - קונקט, תמונת הניצחון"
אליה סולימאן,"7 Days in Havana, Bamako, To Each His Own Cinema, הזמן שנותר: כרוניקה של נוכח נפקד, התערבות אלוהית, כרוניקה של היעלמות"
אליהו גולדנברג,"Di ḳleyne menṭshelakh, Di ḳ̣leyne menṭshlekh, Yerushalayim, ס'האט זיך אויסגעלאזט א בוידעם, עיר הכתריאלים"
אלין גולן,יונייטד היי
אליעזר יונג,הפיזיקאים
אליענה בקייר,"הבועה, ילדות רעות, ריקוד מסוכן, רק כלבים רצים חופשי"
אליענה מגון,כנפיים שבורות
אליענה שכטר,תמרות עשן
אלירן כספי,בקרוב יקרה לך משהו טוב
אלישבע וייל,All Eyes Off Me
אלישבע מיכאלי,"אבן על כל מיל, הפיזיקאים, סיפורי בית קפה, תעלת בלאומילך"
אלישע בנאי,"אחד בלב, תאג""ד, תמונת הניצחון"
אלכס אנסקי,"המועדון לספרות יפה של הגברת ינקלובה, הפטנט, חצויה, מאיה"
אלכס פלג,"אנטיגונה, דרייבר, האחים קרמזוב, לצוד פילים, מי מפחד מווירג'יניה וולף, מכתב לחזיר, מעשייה אורבנית, מצדה, על חבל דק"
אלכסנדר סנדרוביץ',"איגור ומסע העגורים, לנין באוקטובר"
אלמה דישי,"איש חשוב מאוד, החיים בינתיים, קריוקי"
אלעד לוי,תמונת הניצחון
אמונה צבי לשם,"אשת כהן, דיסטורשן, שחור, שירת הסירנה"
אמיר אוריין,תמרות עשן
אמיר בנאי,יונייטד היי
אמיר וולף,"סרוגייט, שבלולים בגשם"
אמיר טסלר,"המזח, הרפתקה בשחקים"
אמיר שורוש,"קופה ראשית, קרב אוויר (סרט)"
אמיתי ארמן,זיגי
אמיתי יעיש בן אוזיליו,מנגן ושר
אמנון וולף,"NO אקזיט, הבוגד הקטן, ההסדר, החברים של יאנה, עץ לימון"
אמנון מסקין,"מסע לנינוה, קומדיה של טעויות"
אמנון פישר,"החיים על פי אגפא, המונה דופק, שמיכה חשמלית ושמה משה"
אנאבלה יעקב,"Der dibeḳ, Folks-yom-Tev fun freyd un gezang!, אהבה קולומביאנית, לא מלקקים דבש!, לחיות ולצחוק, מיתה טובה, שא, שא השלום בא!"
אנה דוברוביצקי,אחד בלב
אנה זק,"זיגי, ים המוות (סדרת טלוויזיה)"
אנה ליסיאנסקאיה,"Days and Nights, Den schastya, Get Thee Out, Girl No. 217, Lenin in Poland, Stories About Lenin, The Lucky Bride, The Village Teacher, Twelfth Night, Volshebnaya sila iskusstva, Zhenikhi i nozhy, Zvanyy uzhin"
אנה סטפן,קרוב לבית
אנחל בונני,"What Lucía Saw, בעלת החלומות, זיגי, רוק בקסבה"
אנטון אוסטרובסקי,הבודדים
אניה בוקשטיין,"Genius, season 1, PPS, The Door, ארץ חדשה, ביום שהאדמה רעדה, גאון, הבורר, המועדון לספרות יפה של הגברת ינקלובה, המנצח, הפילגש, השיר שלנו, לב שקט מאוד, מסכים, עממיות, שושלת שוורץ"
אנלי הרפז,"לגעת באושר, צומת וולקן"
אנסטסיה פיין,כביש הסרגל (סרט)
אסי דיין,"Brev til Jonas, Operation Thunderbolt, אין שמות על הדלתות, בטיפול, בקרוב יקרה לך משהו טוב, ד""ר פומרנץ, הבטחה עם שחר, הבשורה על פי אלוהים, הדברים שמאחורי השמש, ההסדר, הוא הלך בשדות, המכירה הכללית, זכרון דברים, חופשת קיץ, חיי אהבה, חמישה ימים בסיני, כרמל, למראית עין, מאחורי הסורגים, מבצע יונתן, מדוזות, מחץ הדלתא, מר באום, נאהבים לנצח, עד סוף הלילה, קשר האורניום, רגעים"
אסי ישראלוף,"הישראלים, לשחרר את שולי, עם סגולה"
אסי כהן,"אהבה קולומביאנית, אוטונומיות, ארץ נהדרת, הכוכבים של שלומי, הלב הרעב, הפרלמנט, זוהי סדום, חטופים, יוסי וג'אגר, מסודרים, עם סגולה, שאולי ומלחמת האזרחים"
אסי לוי,"אביבה אהובתי, אבנים, אנה ערביה, בטיפול, בלקספייס, געגוע, העולם מצחיק, הרמון, חמדה (סרט), חתונה מנייר, עור, קשר עיר"
אסיה נייפלד,"אליס, בוקר טוב ילד, חדר 514"
אסנת פישמן,"ביום שהאדמה רעדה, הבן דוד, השחף, תמרות עשן"
אסף אשתר,"מאחורי הסורגים 2, שנת אפס"
אסף בן לולו,זגורי אימפריה
אסף הרץ,שכויה
אסף זגה,אזהרת מסע
אסף קורמן,הפורצת
אסתי גינזבורג,"12, סרט 43"
אסתי זקהיים,"ברקיע החמישי, הכוכבים של שלומי, לילסדה, מבול, עפולה אקספרס, קבלו אותי"
אסתי ירושלמי,"אנשים כתומים, מעשייה אורבנית, שחור"
אסתי קוסוביצקי,לחיי האהבה
אסתר גמליאלית,השקרן
אסתר גרינברג,בגלל חגורה
אסתר רדא,קירות
אפרים קישון,Q48969712
אפרת אביב,"הרמון, חיותה וברל, סוף העולם שמאלה"
אפרת בן יעקב,האי
אפרת בן צור,"Made in Israel, המנצח, וביום השלישי, חיותה וברל, תמרות עשן"
אפרת גוש,פלאות
אפרת דור,"A Girl Named Sue, All's Wells That Ends Wells, Death of the Speed Force, Grodd Friended Me, Holy Lands, Liberation, Pay the Piper, So Long and Goodnight, Success Is Assured, The Exorcism of Nash Wells, The Speed of Thought, אחת אפס אפס, אשתו של שומר גן החיות, בננות, המוסד, הפלאש, תמרות עשן"
אפרת כהן,מיכאלה
אפרת לביא,"מחבואים, קמטי צחוק"
אפרת רייטן,"The Sixteenth Lamb, כובע קסמים, עולמו המופלא של אוגוסטוס אגדתי"
אקי אבני,"24, Day 2: 4:00 pm - 5:00 pm, Day 2: 5:00 pm - 6:00 pm, Djihad, My Mom's New Boyfriend, Universal Soldier: Regeneration, אזור חופשי, ברקיע החמישי, ג'אג, ההסדר, השיבה מהודו, יש לה את זה, מלח הארץ, משימה חשאית בדמשק, שישו ושמחו (סדרת טלוויזיה)"
ארז בן הרוש,"אחד העם 1, אחד העם 101, עולמו המופלא של אוגוסטוס אגדתי, שחור"
ארז דריגס,"חזרות, עיר מקלט, תמרות עשן"
ארז טל,רק בישראל
ארז כהנא,החברים של נאור
ארז עובד,כיסופים
ארז שפריר,סבנה
ארי קוטאי,"אותלו, אמא קוראז' וילדיה, כל אדם והאמת שלו"
אריאל וולף,Concerned Citizen
אריאלה רובינוביץ,"בלוז לחופש הגדול, בנות"
אריה אליאס,"אבן על כל מיל, הכוכבים של שלומי, המונה דופק"
אריה מוסקונה,"בידיים טובות, גבעת חלפון אינה עונה, חיי אהבה, לילסדה, מעבר לים, סיפורי בית קפה, עפולה אקספרס"
אריה צ'רנר,"בנא, הבודדים, לבנון, מבצע חמניה, סרק סרק, פצועים בראש, קריוקי"
אריק איינשטיין,"אירמה לה דוס, חתונה בירושלים, לול, סאלח שבתי"
אריק ברמן,"Q122938807, קורדרוי (סדרת טלוויזיה)"
אריק לביא,"גבעה 24 אינה עונה, דון ז'ואן, חור בלבנה"
אריק משעלי,מפטיר
ארנון צדוק,"Programmed to Kill, אות קין, בלדה לאביב הבוכה, הדרך לעין חרוד, החולמים, הכתובה, חסר מנוחה, מאחורי הסורגים 2, נמס בגשם, צדק מוחלט, רגליים קרות"
אשר צרפתי,"אילי ובן, הטרמפיסט"
אשרף ברהום,"300: עליית האימפריה, אגורא, אהבה קולומביאנית, גן עדן עכשיו, הירושה, הכלה הסורית, הממלכה, הרודן, התנגשות הטיטאנים, לבנון, להישאר בחיים, פארחה, קוריולאנוס"
אשרת קוטלר,היום שבו ניצלו יהודי בולגריה
אתגר קרת,מדוזות
אתי אנקרי,עד לאזור לחימה
אתי גרוטס,הבית ברחוב שלוש
אתל קובינסקה,פסטיבל שלום עליכם
בומבה צור,"אבן על כל מיל, הבלש האמיץ שוורץ, תעלת בלאומילך"
בועז דוידזון,"Electric Boogaloo: The Wild, Untold Story of Cannon Films"
בוריס סבידנסקי,זמן אוויר
בלנש אדלשטיין,אוי! אני מאוהב
בן יוסיפוביץ',על הספקטרום
בן פרי,דן ומוזלי
